Vehicle_Number,Ambiant_Pressure,Canister_Controler,Current_for_Injector_Opening,Distance_Km,Lambda_Adapation,Gear_Engaged,Lambda_Control_1,Lambda_Control_2,MAF_Before_Compressor,Engine_MAF,Fuel_Mass_Adapation,Engine_Speed,Turbo_Turbine_Speed,Injection_Number,Fuel_Pressure_at_Inlet_Pump,Fuel_Pressure,Turbo_Waste_Gate_Position,Pedal_Position,Turbo_Waste_Gate_Controler,Water_Pump_Controler,Engine_Thermostat_Controler,Engine_Air_Throttle_Controler,Fuel_Pump_Delivery,Segment_Number,Injector_Adapation1,Injector_Adapation2,Injector_Adapation3,Injector_Adapation4,Injector_Adapation5,Injector_Adapation6,Injector_Adapation7,Injector_Adapation8,Injector_Adapation9,Injector_Adapation10,Injector_Adapation11,Injector_Adapation12,Injector_Adapation13,Injector_Adapation14,Injector_Adapation15,Injector_Adapation16,Injector_Adapation17,Injector_Adapation18,Injector_Adapation19,Injector_Adapation20,Current_Time_for_Injector,Pump_Adaptation_2,Ambiant_Temperature,Engine_Coolant_Tempertaure,ECU_Temperature,TUrbo_Temperature_before_Turbine,Fuel_Temperature_Before_Pump,Fuel_Temperature_at_Pump_Outlet,Fuel_Temperature_In_Rail,Engine_Inlet_Temperture,time_30_s,timestamp,Engine_Oil_Temperature,Trt,Battery_Voltage,Voltage_Boost_Injector_control,Pump_Adaptation_1,Waste_Gate_Adapatation_1,Waste_Gate_Adapatation_2,Vehicle_Speed
VF1RFA00357138811,963.2778047858208,6.7639030628764605,,9561,2.6306152343750004,1.873967574181707,18.171296583608488,18.799199365784887,,156.42995898137,-0.10241575019151179,1736.1044661976139,31882.664208268594,1.0,0.0,216.0752657677314,64.05475990044988,8.744476184586624,-0.8133427234839977,80.999755859375,5.783255151825816,-3.2017095026675664,14.934904533097741,1.5045885591924135,464.7151183616316,0.0,493.20000000004376,0.0,0.0,469.78397316269564,0.0,0.0,0.0,0.0,466.19940194569256,0.0,0.0,0.0,0.0,459.81470326177714,0.0,0.0,0.0,0.0,,1.1695691999329973,3.4702133361253225,89.05654712958396,36.78430189488693,682.5171626932055,3.4747369500371685,26.38143826067597,46.28466124287931,20.148608355735522,,1513018141,94.97656914260428,231808.98248699916,14.087642730244788,,-0.005608287756695001,1.5356293376398469,4.499969482421876,29.396451514224534
VF1RFA00357138811,986.7087504312535,20.478058072298605,12.91331937744054,17441,0.8956909179687508,0.4062737048770693,45.71278635429524,33.295955863400636,19.25603055112289,164.53185769147754,-0.19769077682809527,1063.3885591896837,13917.114565445481,1.3331845968497613,0.0,208.83675899929327,54.018901298490945,3.7697387589861577,-3.6035791977048235,73.0625082718905,3.3813001194136723,-5.57784741562732,18.037637618069816,1.327874704386239,444.3226264198648,337.38879067254976,312.23400820018577,421.134096441302,0.0,445.65314707576135,335.92185054253,151.31592967737734,427.61601577237093,0.0,443.62014510420283,340.1123823806231,147.62355447159035,420.7736488542616,0.0,435.83990925785685,330.97039826692,148.65723528624403,418.49344756374416,0.0,285.7077527628279,1.3280325872241063,25.895732752177633,70.32187465108339,60.08444284566886,599.0461304974095,25.84957818582554,49.26472789040641,46.72347208944533,47.81574928929921,367.49939948694595,1531321675,65.44332812410224,234682.9126500271,12.701289924934894,64.36736133989952,-0.003161465007888575,1.5114807618668438,4.499969482421875,5.530319932176163
VF1RFA00357138811,987.8942376886309,3.992431122372324,14.40879100111062,18220,-0.3158569335937477,1.9613887427669647,21.40287151090345,25.658595114098016,65.32622075938,184.72920437193997,0.08477912565834395,2527.856496580747,51204.71054411722,1.0,0.0,229.810706534792,63.74401897927968,18.72035985026867,0.5505284999469083,80.999755859375,7.885011818913823,9.708793707400464,22.802888108572255,1.5022619673855866,444.50580940159375,435.60000000006534,472.2000000000839,459.70000000008105,0.0,449.5124540536759,433.7999999999252,456.20000000008025,481.2999999999142,0.0,443.9163056620311,429.899999999935,468.3999999999596,479.29999999991463,0.0,439.58317462915556,420.2000000000712,453.20000000007957,459.5,0.0,281.76685377203256,1.428046577935452,27.0,90.3347383187786,84.51813894216788,770.1970008498474,27.0,55.28209018511576,68.71338043239051,50.47211184154868,769.0735449451457,1531843661,94.62781261773581,278451.2599053129,12.793019841426942,64.48251400189825,0.001316637307745693,1.5114693379104618,4.499969482421875,36.375907417148866
VF1RFA00357138811,996.4686019150641,64.9275476937255,15.66900979537957,19982,-0.11138916015622977,6.0,4.930399123756317,12.187039469392849,137.02773675282816,358.5167404624927,-0.021194781414202297,3103.7738527566853,100061.54888641136,1.0,0.0,245.99063853730843,48.21001976125493,35.491076238819716,2.8429953311535656,80.999755859375,37.226098848575695,19.887808025549564,36.81994054785804,1.499174645097392,445.2235888631136,0.0,499.60000000001725,0.0,0.0,445.6522830657725,0.0,0.0,0.0,0.0,445.96811013485956,0.0,517.8000000000283,0.0,0.0,438.28993327904345,0.0,0.0,0.0,0.0,358.23616230905964,1.4763327830967805,25.5,90.98841314833503,86.0,810.9360955916824,25.5,37.623311904772656,53.25,36.80654356893013,216.48930635351311,1532717202,101.0,361086.04239022743,13.341402438401976,64.49699028095797,0.0048453861773966244,1.6007995605468752,4.499969482421875,135.2337405084186
VF1RFA00357138811,984.9615990905673,98.38627410008944,15.675390396790535,19896,0.4867553710937546,6.0,6.9120157931914985,14.937304935959261,132.82251275994878,379.53956453337776,0.10597390707285949,2973.0558659217877,108492.90813130765,1.0,0.0,246.1973179096449,49.82896956470839,40.02269505629005,-3.1427586607593563,80.999755859375,30.316178067246483,22.281490635082832,38.59900462963538,1.4965494577719356,444.8288871703129,0.0,497.1999999999724,0.0,0.0,443.2229586878421,0.0,0.0,0.0,0.0,443.50617172496874,0.0,0.0,0.0,0.0,435.40285145022807,0.0,0.0,0.0,0.0,380.05765375365206,1.4760000000000468,33.0,93.11786994068603,93.0,863.3459782470907,33.0,46.70933124629264,60.83584985718781,46.37931584417184,532.7965696643452,1532713012,102.0,356902.82806441013,13.289443457391425,64.51466334170647,0.002061521085702338,1.5806501612007797,4.499969482421875,129.43575418994413
VF1RFA00357138811,993.4779799990466,98.98498591297955,15.97226877657265,16501,1.6372680664062516,6.0,9.99480626171352,14.075676343650299,97.07344408888035,283.53470940072384,-0.06358434424322472,2931.6906167979005,76374.52802148835,1.0,0.0,249.81257825676963,60.43553471846456,49.91885611647463,0.8236310330932878,80.999755859375,4.935177687908756,19.199259319186016,31.434384766645657,1.4980314960629921,440.1699568670335,0.0,0.0,0.0,0.0,439.69686333723325,0.0,0.0,0.0,0.0,439.8658070812448,0.0,499.3000000000277,0.0,0.0,429.85094709096205,0.0,0.0,0.0,0.0,382.4385987057301,1.4360000000000352,28.5,89.816446659741,84.0,768.5019005584113,28.5,43.990006242377746,56.2034779884464,43.58844153059826,805.2714937196521,1530468783,100.0,180029.96476377946,13.508229294020346,64.50037592289672,-0.001249197007951465,1.5727996065512924,4.499969482421875,127.71817585301837
VF1RFA00357138811,995.9333043104295,54.40084484718136,14.603700245291078,16417,0.10833740234377072,6.0,9.48191883508858,13.830606642049059,60.04079637453801,162.2423580580364,-0.021194781414202328,2857.278015116661,46472.57874898366,1.0,0.0,232.61629628841837,69.01245117162033,22.27677560573022,-0.067138671875,80.999755859375,34.13020200559458,17.597577036397595,19.445491439094784,1.4965494577719356,456.98880906673634,0.0,0.0,0.0,0.0,459.6170557805479,0.0,0.0,0.0,0.0,464.09909735966045,0.0,0.0,0.0,0.0,450.53765032414265,0.0,0.0,0.0,0.0,268.0055287016045,1.3622214919487305,32.25,90.69492576883478,87.0,705.5137322298668,32.25,50.857678209571056,59.978442949638044,49.13268123210794,831.7775524353317,1530464300,100.58043197296271,177431.67850805118,13.804687140148038,64.52321551725917,-0.009001880061802558,1.5663146972656252,4.499969482421875,124.55340124876767
VF1RFA00357138811,927.9998620422939,60.74278442783355,13.84746867359629,18766,0.9170532226562521,5.0,17.22237926324395,17.955158712704154,44.244275231633125,125.59728842722296,-0.08477912565774183,2927.914215012373,33100.84615864594,1.0,0.0,223.1677246793422,70.25756835911876,25.88740132181554,-1.1199951171875,80.999755859375,0.27281843916343623,14.035730810230339,18.854470554262694,1.4990376684080287,455.41310526290334,0.0,404.69999999997293,0.0,0.0,457.844878019442,0.0,0.0,0.0,0.0,454.30083968149313,0.0,0.0,0.0,0.0,448.47586263711094,0.0,0.0,0.0,0.0,304.8266547685457,1.6000000000000625,21.75,87.26769525295937,72.0,680.6511850889847,21.75,41.98539139364556,50.40883756278945,39.490452936722775,510.56876008194183,1532082470,97.0,305770.5298597746,14.241042910860411,64.38164022570469,-0.001945901998556037,1.5162658691406252,4.499969482421875,106.60406928787462
VF1RFA00357138811,985.7286593843525,98.3003187222276,15.957421984047702,20346,0.12207031250001504,5.0,21.895648857091572,22.060361058521835,48.85282993536421,179.84440220198553,-0.12716868848674878,2368.522323830016,35924.53417185725,1.0,0.0,249.57844883808107,70.56274414036862,23.86159882214239,-0.89111328125,80.999755859375,5.856132210418112,15.169314226052187,26.394865671786732,1.518558364712211,442.4062557399509,456.0,454.1999999999705,463.8999999999735,0.0,441.30212953430026,442.1000000000233,442.8000000000291,454.1999999999705,0.0,438.4591912806377,437.3999999999775,464.6999999999701,462.19999999997015,0.0,432.19434207009965,457.5,443.1000000000234,436.19999999997117,0.0,380.04944951161224,1.472000000000009,28.88910888308498,90.20392207673085,77.0,637.1493912376122,28.87146582316465,47.741527993654095,62.388084483668926,47.530887218903175,868.0003754691901,1532893061,96.0,375470.20018827304,13.871175224294525,64.4411333870373,0.0017123683065435429,1.5028381347656252,4.499969482421875,86.1694459386767
VF1RFA00357138811,930.3111039240835,32.97401184669914,14.308533839428144,18804,0.5996704101562537,6.0,3.5142233640617406,9.217883401716383,77.14903262898798,204.47622439883543,-0.08477912565774091,2749.1491170699805,61538.82800300156,1.0,0.0,228.89578142881996,56.22166411562709,55.48462936194389,-0.4586992538010932,80.999755859375,23.14434292962867,18.09656581067713,17.632713696900808,1.5042511445389144,473.7304894915192,0.0,404.6999999999767,0.0,0.0,475.18794203046434,0.0,0.0,0.0,0.0,475.33232277991794,0.0,0.0,0.0,0.0,473.2446576287631,0.0,0.0,0.0,0.0,209.7188593968695,1.4069797253106084,22.149104528356165,95.24522876922676,81.23606674468192,743.6887021598945,22.174363205463457,45.805929977187105,55.693293754576835,37.52468164091614,768.1399519400899,1532083629,102.84773711546275,306929.0109548724,14.355760333093434,64.55432057875518,-0.013506554876533907,1.5700999874471024,4.499969482421875,119.72432962720733
